"A302100 - Total Workers (1) (Workers 16 years and over)"
"Current date: 1/6/2021 7:50:29 PM (Eastern Standard Time)"
"RESIDENCE","WORKPLACE","Output","Workers 16 and Over",
"Census Tract 9557.01, Cherokee County, Alabama","Census Tract 9609, DeKalb County, Alabama","Estimate","55"
"Census Tract 9557.01, Cherokee County, Alabama","Census Tract 9609, DeKalb County, Alabama","Margin of Error","61"
"Census Tract 9557.01, Cherokee County, Alabama","Census Tract 9611, DeKalb County, Alabama","Estimate","10"
"Census Tract 9557.01, Cherokee County, Alabama","Census Tract 9611, DeKalb County, Alabama","Margin of Error","13"
"Census Tract 9557.01, Cherokee County, Alabama","Census Tract 105, Chattooga County, Georgia","Estimate","10"
"Census Tract 9557.01, Cherokee County, Alabama","Census Tract 105, Chattooga County, Georgia","Margin of Error","14"
"Census Tract 9557.01, Cherokee County, Alabama","Census Tract 3, Floyd County, Georgia","Estimate","25"
"Census Tract 9557.01, Cherokee County, Alabama","Census Tract 3, Floyd County, Georgia","Margin of Error","17"
"Census Tract 9557.01, Cherokee County, Alabama","Census Tract 6, Floyd County, Georgia","Estimate","10"
"Census Tract 9557.01, Cherokee County, Alabama","Census Tract 6, Floyd County, Georgia","Margin of Error","13"
"Census Tract 9557.01, Cherokee County, Alabama","Census Tract 203.01, Walker County, Georgia","Estimate","4"
"Census Tract 9557.01, Cherokee County, Alabama","Census Tract 203.01, Walker County, Georgia","Margin of Error","9"
"Census Tract 9557.01, Cherokee County, Alabama","Census Tract 209.01, Walker County, Georgia","Estimate","10"
"Census Tract 9557.01, Cherokee County, Alabama","Census Tract 209.01, Walker County, Georgia","Margin of Error","16"
"Census Tract 9557.02, Cherokee County, Alabama","Census Tract 9557.02, Cherokee County, Alabama","Estimate","20"
"Census Tract 9557.02, Cherokee County, Alabama","Census Tract 9557.02, Cherokee County, Alabama","Margin of Error","24"
"Census Tract 9557.02, Cherokee County, Alabama","Census Tract 9611, DeKalb County, Alabama","Estimate","35"
"Census Tract 9557.02, Cherokee County, Alabama","Census Tract 9611, DeKalb County, Alabama","Margin of Error","33"
"Census Tract 9557.02, Cherokee County, Alabama","Census Tract 102, Chattooga County, Georgia","Estimate","10"
"Census Tract 9557.02, Cherokee County, Alabama","Census Tract 102, Chattooga County, Georgia","Margin of Error","16"
"Census Tract 9557.02, Cherokee County, Alabama","Census Tract 103, Chattooga County, Georgia","Estimate","10"
"Census Tract 9557.02, Cherokee County, Alabama","Census Tract 103, Chattooga County, Georgia","Margin of Error","18"
